Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-January-2018,130.10,132.15,129.10,129.60,130.450192876815121128,1353973,14145,176626039.00,870477,64.29,3.05,-0.50
12-January-2018,132.30,134.90,130.50,130.70,132.394986313100208164,1555502,11163,205940666.00,1019294,65.53,4.40,-1.60
11-January-2018,134.80,136.00,132.75,133.05,133.953258982510909292,1723989,11305,230933945.00,1210674,70.23,3.25,-1.75
10-January-2018,139.60,139.90,133.20,134.80,136.034485101900832237,4238091,24564,576526527.00,2229981,52.62,6.70,-4.80
9-January-2018,141.00,141.80,137.00,137.70,138.888115463560600440,1617480,14006,224648749.00,1256770,77.70,4.80,-3.30
8-January-2018,141.10,143.00,140.50,140.85,141.332903733434516829,930323,11824,131485251.00,630432,67.76,2.50,-0.25
5-January-2018,141.50,143.95,140.00,142.35,141.905690687776406815,1731144,10140,245659185.00,979635,56.59,3.95,0.85
4-January-2018,144.20,144.90,141.70,142.00,142.816618701478514562,1011150,4238,144409024.00,758251,74.99,3.20,-2.20
3-January-2018,144.00,146.50,143.90,144.20,144.592229451232873853,766664,3685,110853657.00,398206,51.94,2.60,0.20
2-January-2018,147.10,147.75,144.25,145.05,145.251909768825839092,879164,3879,127700250.00,523639,59.56,3.50,-2.05
1-January-2018,146.00,150.80,145.00,146.25,147.410350852217577553,1159035,4326,170853756.00,519758,44.84,5.80,0.25
29-December-2017,146.00,149.00,145.40,145.95,146.787999084826327118,1070835,3898,157185727.00,537424,50.19,3.60,-0.05
28-December-2017,147.00,147.40,144.00,145.65,145.904205475442827007,1185621,4925,172987090.00,449142,37.88,3.40,-1.35
27-December-2017,147.90,149.10,145.50,146.05,147.343282880511422393,1233892,4694,181805698.00,668393,54.17,3.60,-1.85
26-December-2017,149.90,150.90,146.30,147.90,149.071820455820245479,1939712,18101,289156399.00,782743,40.35,4.60,-2.00
22-December-2017,148.45,150.90,148.45,149.65,149.627636965615981745,1296329,6309,193966645.00,688637,53.12,2.45,1.20
21-December-2017,152.70,153.70,147.80,148.35,150.008381378354445589,1306587,6712,195999001.00,794840,60.83,5.90,-4.35
20-December-2017,154.75,156.25,151.00,152.05,154.252916459402513052,2472690,13830,381419644.00,1283980,51.93,5.25,-2.70
19-December-2017,146.00,154.60,146.00,154.00,151.339833024791546338,5652935,16760,855514239.00,3114084,55.09,8.60,8.00
18-December-2017,141.00,147.70,137.00,146.25,144.130421502310241135,2088743,6839,301051409.00,1366333,65.41,10.70,5.25
15-December-2017,140.50,144.50,139.75,142.05,141.336587802064071562,1581825,5402,223569748.00,1165449,73.68,4.75,1.55
14-December-2017,140.60,142.00,137.50,138.90,139.151854416589613345,749481,3720,104291671.00,457085,60.99,4.50,-1.70
13-December-2017,142.50,143.45,140.00,140.05,141.279757843121697319,630170,3291,89030265.00,348567,55.31,3.45,-2.45
12-December-2017,146.90,146.90,140.00,142.20,142.784217335542870558,1601542,5803,228674921.00,1199381,74.89,6.90,-4.70
11-December-2017,147.50,148.70,146.00,146.45,146.926565229051697040,1040311,5470,152849322.00,535599,51.48,2.70,-1.05
8-December-2017,139.90,146.00,139.40,145.35,143.538051649410562452,2178263,8586,312663627.00,1302167,59.78,6.60,5.45
7-December-2017,143.00,145.95,140.10,140.75,143.154654648599778532,1239911,5757,177499031.00,686213,55.34,5.85,-2.25
6-December-2017,141.85,143.25,140.75,142.35,142.356433096131656088,1146563,5129,163220619.00,709073,61.84,2.50,0.50
5-December-2017,141.10,142.35,138.20,141.10,140.476061436174358494,1218891,5818,171225007.00,532971,43.73,4.15,0.00
4-December-2017,139.10,142.05,138.20,140.65,140.546821065195837785,1038870,3979,146009876.00,665673,64.08,3.85,1.55
1-December-2017,143.00,144.25,135.10,138.10,140.753108286096398275,1775094,12410,249849998.00,1122835,63.25,9.15,-4.90
30-November-2017,141.20,144.00,141.00,143.00,142.703684278027369360,1044818,9467,149099378.00,616842,59.04,3.00,1.80
29-November-2017,144.90,145.90,141.00,142.35,143.270647135639396379,1198435,9527,171700558.00,546283,45.58,4.90,-2.55
28-November-2017,146.00,146.30,143.40,143.90,144.751738088890897736,2168186,6105,313848692.00,1410344,65.05,2.90,-2.10
27-November-2017,145.95,146.30,144.00,144.95,144.994717412650864479,1689513,6311,244970460.00,1360053,80.50,2.30,-1.00
24-November-2017,144.00,146.00,143.00,144.85,144.426109988448256418,1968534,9330,284307708.00,1371602,69.68,3.00,0.85
23-November-2017,143.30,145.00,142.05,143.80,143.675945619773807905,1419413,10001,203935505.00,636221,44.82,2.95,0.50
22-November-2017,142.95,143.85,142.05,142.85,142.985320641231542595,981923,3577,140400575.00,605215,61.64,1.80,-0.10
21-November-2017,143.90,144.85,141.10,142.30,143.277590516066391210,1305956,9285,187114229.00,725388,55.54,3.75,-1.60
20-November-2017,141.90,144.00,141.80,143.35,143.020260241016721160,1458571,6753,208605204.00,829626,56.88,2.20,1.45
17-November-2017,143.50,145.10,140.15,140.70,142.694445052153599704,1645524,7672,234807134.00,808470,49.13,4.95,-2.80
16-November-2017,144.35,145.50,141.85,142.10,143.383634728952273438,1536021,9983,220240274.00,964147,62.77,3.65,-2.25
15-November-2017,141.70,146.25,141.00,143.35,144.565724128713365375,2865561,24404,414261901.00,1457416,50.86,5.25,1.65
14-November-2017,149.75,149.90,141.20,142.10,143.626799612379568820,2981267,12459,428189838.00,1480049,49.64,8.70,-7.65
13-November-2017,142.75,153.60,140.60,149.10,148.712241861411531903,7253807,26602,1078729901.00,1679920,23.16,13.00,6.35
10-November-2017,141.90,144.70,140.40,142.30,142.774222118388080544,1515237,7663,216336784.00,632058,41.71,4.30,0.40
9-November-2017,142.60,144.85,138.55,142.35,141.577809557859611488,1552335,6554,219776189.00,661221,42.60,6.30,-0.25
8-November-2017,142.10,144.95,141.50,142.15,142.881181056647590611,1085130,5601,155044656.00,500665,46.14,3.45,0.05
7-November-2017,147.70,147.70,140.85,141.60,143.323021956860121081,1690269,8902,242254461.00,1093928,64.72,6.85,-6.10
6-November-2017,149.00,150.00,147.25,148.35,148.572370074788702320,1109927,10257,164904485.00,630526,56.81,2.75,-0.65
3-November-2017,146.60,151.00,145.70,150.35,149.212823491960029442,1982159,10325,295763541.00,956783,48.27,5.30,3.75
